"country","retailer","retailer_slug","product_family","brand","device_type","model","capacity_gb","offer_type","price_value","price_text","price_unit","term_months","in_stock","data_quality_tier","price_capture_kind","extracted_at","source_url","source_title"
"ES","Media Markt","media_markt","Apple","Apple","mobile","Apple iPhone 16e",128,"cash",599.0,"599.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:30.711483+00:00","https://www.mediamarkt.es/es/product/_apple-iphone-16e-negro-128-gb-5g-61-oled-super-retina-xdr-chip-a18-ios-1595132.html","Apple iPhone 16e, Negro, 128 GB, 5G, 6.1 "" OLED Super Retina XDR, Chip A18, iOS"
"ES","Media Markt","media_markt","Apple","Apple","mobile","Apple iPhone 15",128,"cash",629.0,"629.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:32.545335+00:00","https://www.mediamarkt.es/es/product/_apple-iphone-15-azul-128-gb-5g-61-oled-super-retina-xdr-chip-a16-bionic-ios-1561323.html","Apple iPhone 15, Azul, 128 GB, 5G, 6.1"" OLED Super Retina XDR, Chip A16 Bionic, iOS"
"ES","Media Markt","media_markt","Apple","Apple","mobile","Apple iPhone 15",256,"cash",559.0,"559.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:32.829098+00:00","https://www.mediamarkt.es/es/product/_movil-apple-1561326-iphone-15-pink-256gb-ypt-rosa-256-gb-61-chip-a16-bionic-143087750.html","APPLE iPhone 15 6.1"" 256GB, Pink, Smartphone iOS, 256 GB, 256 MB RAM, 11 "" Super Retina XDR, Ceramic Shield, Recubrimiento oleofóbico, Anti-huellas, Processor, 3350 mAh"
"ES","Media Markt","media_markt","Apple","Apple","mobile","Apple iPhone 16",128,"cash",699.0,"699.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:33.742813+00:00","https://www.mediamarkt.es/es/product/_apple-iphone-16-negro-128-gb-5g-61-oled-super-retina-xdr-chip-a18-bionic-ios-1582150.html","Apple iPhone 16, Negro, 128 GB, 5G, 6.1 "" OLED Super Retina XDR, Chip A18 Bionic, iOS"
"ES","Media Markt","media_markt","Apple","Apple","laptop","Apple MacBook Neo",256,"cash",699.0,"699.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:35.029085+00:00","https://www.mediamarkt.es/es/product/_apple-macbook-neo-2026-13-liquid-retina-chip-a18-pro-cpu-6-nucleos-gpu-5-nucleos-8gb-ram-256gb-ssd-magic-keyboard-indigo-sin-ac-1622435.html","Apple MacBook Neo (2026), 13"" Liquid Retina, Chip A18 Pro, CPU 6 núcleos + GPU 5 núcleos, 8GB RAM, 256GB SSD, Magic Keyboard, Índigo, Sin AC"
"ES","Media Markt","media_markt","Apple","Apple","laptop","Apple MacBook Neo",512,"cash",799.0,"799.00 EUR","EUR","",True,"mediamarkt_adapter_live","visible_dom","2026-03-25T14:57:36.171659+00:00","https://www.mediamarkt.es/es/product/_apple-macbook-neo-2026-13-liquid-retina-chip-a18-pro-cpu-6-nucleos-gpu-5-nucleos-8gb-ram-512gb-ssd-magic-keyboard-touch-id-plata-sin-ac-1622432.html","Apple MacBook Neo (2026), 13"" Liquid Retina, Chip A18 Pro, CPU 6 núcleos + GPU 5 núcleos, 8GB RAM, 512GB SSD, Magic Keyboard Touch ID, Plata, Sin AC"
"ES","Movistar","movistar","Samsung","Samsung","mobile","Samsung Galaxy S26 Ultra 5G",512,"cash",1649.0,"1649.00 EUR","EUR","",True,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:47:56.115554+00:00","https://www.movistar.es/moviles/samsung-galaxy-s26-ultra-512gb-violeta/","Samsung Galaxy S26 Ultra 512 GB"
"ES","Movistar","movistar","Samsung","Samsung","mobile","Samsung Galaxy S26 Ultra 5G",512,"renting_no_insurance",26.5,"26.50 EUR","EUR/month",36,True,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:47:56.115554+00:00","https://www.movistar.es/moviles/samsung-galaxy-s26-ultra-512gb-violeta/","Samsung Galaxy S26 Ultra 512 GB"
"ES","Movistar","movistar","Samsung","Samsung","mobile","Samsung Galaxy S26 5G",256,"cash",999.0,"999.00 EUR","EUR","",False,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:48:04.982613+00:00","https://www.movistar.es/moviles/samsung-galaxy-s26-256gb-violeta/","Samsung Galaxy S26 256 GB"
"ES","Movistar","movistar","Samsung","Samsung","mobile","Samsung Galaxy S26 5G",256,"renting_no_insurance",15.0,"15.00 EUR","EUR/month",36,False,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:48:04.983613+00:00","https://www.movistar.es/moviles/samsung-galaxy-s26-256gb-violeta/","Samsung Galaxy S26 256 GB"
